frame,mean_return,std_return
10000,-247.96367966340458,102.70431874199816
20000,-143.39919975903916,26.679475882245345
30000,-117.81772332810775,42.7382769256519
40000,-138.44620856597675,74.52222523774324
50000,-107.99156142547699,65.77263870258096
60000,-84.98155249405454,16.026372432522503
70000,-100.18394740215882,89.56012980185207
80000,-78.73850582616606,85.0743734904973
90000,-26.954397992338766,42.71039536263924
100000,7.051201166785766,114.69857663553495
110000,11.102232743370873,109.04153799776758
120000,27.985786140660696,82.96116370453315
130000,104.8504542359877,149.2667192473217
140000,141.23458065717134,152.91826010208112
150000,128.83666534147326,161.14556091408113
160000,136.62423940901357,139.85399030695825
170000,34.95016598807025,197.78347168502427
180000,121.25714554481995,177.15895431620928
190000,173.68118623267222,153.48009307709
200000,152.50444356435546,159.67940348334758
210000,140.77143147130818,163.63389076467845
220000,145.11393993684095,157.66052845312157
230000,214.23573175845368,86.3589564995361
240000,208.37865391786835,95.9805148981859
250000,111.09523150530615,142.62010644608435
260000,250.92366854178044,25.19472099645043
270000,193.38035165194037,105.29066928374517
280000,202.19852623077992,119.08531985252023
290000,167.8943300020027,68.28587707239018
300000,237.64637005467807,55.43485410340294
310000,110.11674860123446,158.8358576231065
320000,190.94237387835474,91.79124873588029
330000,242.74126461593897,45.676480146276184
340000,153.54357099279946,94.91984928567592
350000,237.09706126352438,49.39087452600429
360000,247.29985098071728,23.90956615574451
370000,247.7117786566418,76.12623232070206
380000,250.02560963892475,34.52167141135152
390000,213.11251443625557,109.91466046882232
400000,239.89219599118292,44.53925656455373
410000,211.68504247721026,78.29240034011464
420000,264.5368617915522,13.032690182720366
430000,259.1785447647805,45.53786813146298
440000,167.90898605563524,40.78690045858782
450000,182.66301935002122,91.60592827362419
460000,247.33438918341304,83.03298563454787
470000,146.3822689172453,89.51155122689602
480000,215.61228015027012,83.61380434622693
490000,169.7664835154625,31.314243791500484
500000,232.04016296760514,81.637992248507
